Train set size:  403
Val set size:  58
Train image size:  torch.Size([1, 160, 192, 224])
Val image size:  torch.Size([1, 160, 192, 224])
Training Starts
Iter 1 of 403 loss -0.0554, Img Sim: -0.055437, Reg: 0.000000, Jac: 0.000000, Dice: 0.000000
Iter 1 of 403 loss -0.0444, Img Sim: -0.044927, Reg: 0.000566, Jac: 0.000000, Dice: 0.000000
Iter 2 of 403 loss -0.0626, Img Sim: -0.063257, Reg: 0.000653, Jac: 0.000000, Dice: 0.000000
Iter 2 of 403 loss -0.0516, Img Sim: -0.052239, Reg: 0.000660, Jac: 0.000000, Dice: 0.000000
Iter 3 of 403 loss -0.0766, Img Sim: -0.077486, Reg: 0.000916, Jac: 0.000000, Dice: 0.000000
Iter 3 of 403 loss -0.0482, Img Sim: -0.049290, Reg: 0.001116, Jac: 0.000000, Dice: 0.000000
Iter 4 of 403 loss -0.1003, Img Sim: -0.102006, Reg: 0.001671, Jac: 0.000000, Dice: 0.000000
Iter 4 of 403 loss -0.0476, Img Sim: -0.049250, Reg: 0.001646, Jac: 0.000000, Dice: 0.000000
Iter 5 of 403 loss -0.0866, Img Sim: -0.089011, Reg: 0.002429, Jac: 0.000000, Dice: 0.000000
Iter 5 of 403 loss -0.0515, Img Sim: -0.053431, Reg: 0.001920, Jac: 0.000000, Dice: 0.000000
Iter 6 of 403 loss -0.1001, Img Sim: -0.102354, Reg: 0.002243, Jac: 0.000000, Dice: 0.000000
Iter 6 of 403 loss -0.0635, Img Sim: -0.065539, Reg: 0.002002, Jac: 0.000000, Dice: 0.000000
Iter 7 of 403 loss -0.0772, Img Sim: -0.079245, Reg: 0.002009, Jac: 0.000000, Dice: 0.000000
Iter 7 of 403 loss -0.0654, Img Sim: -0.068275, Reg: 0.002869, Jac: 0.000000, Dice: 0.000000
Iter 8 of 403 loss -0.0895, Img Sim: -0.091656, Reg: 0.002127, Jac: 0.000000, Dice: 0.000000
Iter 8 of 403 loss -0.0713, Img Sim: -0.074344, Reg: 0.003080, Jac: 0.000000, Dice: 0.000000
Iter 9 of 403 loss -0.0882, Img Sim: -0.090545, Reg: 0.002385, Jac: 0.000000, Dice: 0.000000
Iter 9 of 403 loss -0.0699, Img Sim: -0.073155, Reg: 0.003266, Jac: 0.000000, Dice: 0.000000
Iter 10 of 403 loss -0.0939, Img Sim: -0.097245, Reg: 0.003363, Jac: 0.000000, Dice: 0.000000
Iter 10 of 403 loss -0.0827, Img Sim: -0.087419, Reg: 0.004728, Jac: 0.000000, Dice: 0.000000
Iter 11 of 403 loss -0.0973, Img Sim: -0.100125, Reg: 0.002777, Jac: 0.000000, Dice: 0.000000
Iter 11 of 403 loss -0.0713, Img Sim: -0.075968, Reg: 0.004700, Jac: 0.000000, Dice: 0.000000
Iter 12 of 403 loss -0.0819, Img Sim: -0.084935, Reg: 0.003009, Jac: 0.000000, Dice: 0.000000
Iter 12 of 403 loss -0.0729, Img Sim: -0.077083, Reg: 0.004201, Jac: 0.000000, Dice: 0.000000
Iter 13 of 403 loss -0.0961, Img Sim: -0.099761, Reg: 0.003629, Jac: 0.000000, Dice: 0.000000
Iter 13 of 403 loss -0.0829, Img Sim: -0.088102, Reg: 0.005240, Jac: 0.000000, Dice: 0.000000
Iter 14 of 403 loss -0.1013, Img Sim: -0.105030, Reg: 0.003721, Jac: 0.000000, Dice: 0.000000
Iter 14 of 403 loss -0.0717, Img Sim: -0.076334, Reg: 0.004654, Jac: 0.000000, Dice: 0.000000
Iter 15 of 403 loss -0.1136, Img Sim: -0.117857, Reg: 0.004237, Jac: 0.000000, Dice: 0.000000
Iter 15 of 403 loss -0.0904, Img Sim: -0.095579, Reg: 0.005149, Jac: 0.000000, Dice: 0.000000
Iter 16 of 403 loss -0.1052, Img Sim: -0.109073, Reg: 0.003875, Jac: 0.000000, Dice: 0.000000
Iter 16 of 403 loss -0.0834, Img Sim: -0.089286, Reg: 0.005882, Jac: 0.000000, Dice: 0.000000
Iter 17 of 403 loss -0.0965, Img Sim: -0.099920, Reg: 0.003399, Jac: 0.000000, Dice: 0.000000
Iter 17 of 403 loss -0.0899, Img Sim: -0.094673, Reg: 0.004781, Jac: 0.000000, Dice: 0.000000
Iter 18 of 403 loss -0.1041, Img Sim: -0.108438, Reg: 0.004381, Jac: 0.000000, Dice: 0.000000
Iter 18 of 403 loss -0.0949, Img Sim: -0.099662, Reg: 0.004789, Jac: 0.000000, Dice: 0.000000
Iter 19 of 403 loss -0.1035, Img Sim: -0.107372, Reg: 0.003895, Jac: 0.000000, Dice: 0.000000
Iter 19 of 403 loss -0.0949, Img Sim: -0.099233, Reg: 0.004321, Jac: 0.000000, Dice: 0.000000
Iter 20 of 403 loss -0.0965, Img Sim: -0.100305, Reg: 0.003854, Jac: 0.000000, Dice: 0.000000
Iter 20 of 403 loss -0.0888, Img Sim: -0.093699, Reg: 0.004866, Jac: 0.000000, Dice: 0.000000
Iter 21 of 403 loss -0.0991, Img Sim: -0.103248, Reg: 0.004155, Jac: 0.000000, Dice: 0.000000
Iter 21 of 403 loss -0.0948, Img Sim: -0.099718, Reg: 0.004925, Jac: 0.000000, Dice: 0.000000
Iter 22 of 403 loss -0.0995, Img Sim: -0.103397, Reg: 0.003927, Jac: 0.000000, Dice: 0.000000
Iter 22 of 403 loss -0.0920, Img Sim: -0.096416, Reg: 0.004385, Jac: 0.000000, Dice: 0.000000
Iter 23 of 403 loss -0.0860, Img Sim: -0.091446, Reg: 0.005406, Jac: 0.000000, Dice: 0.000000
Iter 23 of 403 loss -0.0875, Img Sim: -0.092706, Reg: 0.005239, Jac: 0.000000, Dice: 0.000000
Iter 24 of 403 loss -0.1141, Img Sim: -0.118708, Reg: 0.004597, Jac: 0.000000, Dice: 0.000000
Iter 24 of 403 loss -0.1033, Img Sim: -0.108539, Reg: 0.005221, Jac: 0.000000, Dice: 0.000000
Iter 25 of 403 loss -0.1090, Img Sim: -0.114366, Reg: 0.005399, Jac: 0.000000, Dice: 0.000000
Iter 25 of 403 loss -0.0991, Img Sim: -0.105863, Reg: 0.006737, Jac: 0.000000, Dice: 0.000000
Iter 26 of 403 loss -0.1083, Img Sim: -0.112846, Reg: 0.004535, Jac: 0.000000, Dice: 0.000000
Iter 26 of 403 loss -0.1000, Img Sim: -0.105970, Reg: 0.005944, Jac: 0.000000, Dice: 0.000000
Iter 27 of 403 loss -0.0919, Img Sim: -0.097356, Reg: 0.005491, Jac: 0.000000, Dice: 0.000000
Iter 27 of 403 loss -0.0823, Img Sim: -0.088909, Reg: 0.006620, Jac: 0.000000, Dice: 0.000000
Iter 28 of 403 loss -0.1031, Img Sim: -0.107481, Reg: 0.004350, Jac: 0.000000, Dice: 0.000000
Iter 28 of 403 loss -0.0877, Img Sim: -0.093063, Reg: 0.005337, Jac: 0.000000, Dice: 0.000000
Iter 29 of 403 loss -0.1111, Img Sim: -0.116620, Reg: 0.005531, Jac: 0.000000, Dice: 0.000000
Iter 29 of 403 loss -0.0998, Img Sim: -0.105778, Reg: 0.006001, Jac: 0.000000, Dice: 0.000000
Iter 30 of 403 loss -0.1077, Img Sim: -0.112743, Reg: 0.005010, Jac: 0.000000, Dice: 0.000000
Iter 30 of 403 loss -0.0940, Img Sim: -0.099653, Reg: 0.005608, Jac: 0.000000, Dice: 0.000000
Iter 31 of 403 loss -0.1033, Img Sim: -0.109492, Reg: 0.006235, Jac: 0.000000, Dice: 0.000000
Iter 31 of 403 loss -0.0988, Img Sim: -0.105542, Reg: 0.006711, Jac: 0.000000, Dice: 0.000000
Iter 32 of 403 loss -0.1071, Img Sim: -0.113643, Reg: 0.006583, Jac: 0.000000, Dice: 0.000000
Iter 32 of 403 loss -0.0918, Img Sim: -0.099288, Reg: 0.007452, Jac: 0.000000, Dice: 0.000000
Iter 33 of 403 loss -0.1050, Img Sim: -0.111884, Reg: 0.006921, Jac: 0.000000, Dice: 0.000000
Iter 33 of 403 loss -0.1012, Img Sim: -0.108305, Reg: 0.007125, Jac: 0.000000, Dice: 0.000000
