IXI-MambaFusev6-hybrid-defconv-diff_ncc_1_reg_1_jac_0_dice_0_lr_0.0001
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9834205708529559-1.7320508075688772,0.8244462392517428-2.23606797749979,0.7313412852676698-1.7320508075688772,0.880833977647315-1.4142135623730951,0.37134207496123034-10.712123534080533,0.7124273097754841-3.7416573867739413,0.836076170318213-3.0,0.8074656184828022-3.605551275463989,0.8381321064140672-1.4142135623730951,0.7505898207359372-2.23606797749979,0.5312934619116981-3.605551275463989,0.7826086930744114-1.4142135623730951,0.8040918726035672-1.4142135623730951,0.9129120323739098-2.0,0.7975736221528484-1.7320508075688772,0.7739399023478238-1.7320508075688772,0.6903379969602663-2.0,0.5406779615196783-2.449489742783178,0.8160454499302355-2.0,0.21212117998163937-2.23606797749979,0.3059701473509319-3.3166247903554,0.8282850649430746-2.23606797749979,0.7327313137830062-1.7320508075688772,0.8670232926721607-1.4142135623730951,0.5571309378054133-19.41509282357876,0.8313112655686002-2.0,0.9003569261388235-2.0,0.8780873132455173-2.0,0.8288224111718633-1.4142135623730951,0.757319863659285-2.449489742783178,0.7622009551143518-2.23606797749979,0.7838663305930055-2.23606797749979,0.8010191062394417-1.7320508075688772,0.6562009367645139-2.0,0.818839914946541-1.4142135623730951,0.3103447740784872-2.0590169943749475,0.3879755735651687-3.4641016151377544,0.0-nan,0.018200202040442853-62.81719509815764,0.0-nan,0.4792452739765043-2.23606797749979,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
p_1,0.9828601252999336-1.7320508075688772,0.8236700805508858-2.449489742783178,0.7243234492026749-1.7320508075688772,0.861114199614102-1.7320508075688772,0.4011352847574713-8.366600265340756,0.8045292997204921-2.8284271247461903,0.8766981461436378-2.23606797749979,0.8793147139341504-2.0,0.8236115952688188-1.4142135623730951,0.7642653071081266-2.8284271247461903,0.7688818308712139-2.23606797749979,0.7898982785342045-1.4142135623730951,0.7096774178184079-3.0,0.9154662278967833-1.4142135623730951,0.7981580959342306-1.7320508075688772,0.7795563022197239-1.7320508075688772,0.6590742077183166-2.23606797749979,0.6262626217441369-2.449489742783178,0.8299499069953863-1.7320508075688772,0.574999928125009-1.4142135623730951,0.4309102787759641-3.605551275463989,0.8238144458139176-2.23606797749979,0.7305157513633843-1.7320508075688772,0.8399372982496136-1.85262794416259,0.499508353003851-20.66396415306375,0.8263936680355604-2.23606797749979,0.8925270105306149-2.23606797749979,0.8798938987374568-2.0,0.8019549030301512-2.0,0.7965308152609327-2.449489742783178,0.781825973463725-2.23606797749979,0.8147594574360024-1.4142135623730951,0.8031992224837634-2.0,0.6661742934551381-2.0,0.8258537450153284-1.7320508075688772,0.11940296725328846-2.449489742783178,0.4429301508067567-3.7416573867739413,0.0-nan,0.0069492702783233475-47.780633109359975,0.0-nan,0.4851851762002745-2.23606797749979,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
p_2,0.9822566622963137-2.23606797749979,0.8115308098199248-3.0,0.7104477256844255-2.23606797749979,0.8736798892138374-1.4142135623730951,0.22427440337368862-13.820133633363696,0.7914429574675375-2.449489742783178,0.8870807589856107-2.23606797749979,0.8612184245362959-2.23606797749979,0.812728682988437-1.7320508075688772,0.7685909974163478-2.23606797749979,0.7546569723883304-2.8284271247461903,0.7523510945581641-1.7320508075688772,0.8096568220078675-1.4142135623730951,0.9142438220301391-2.0,0.7613115948330175-2.23606797749979,0.7385321083978622-2.23606797749979,0.6748113522284895-2.0,0.6002604127587213-2.449489742783178,0.8098159502578193-2.0,0.0-nan,0.3426925821260433-6.202863917527129,0.8134068141851394-2.8284271247461903,0.7184578247607394-2.0,0.8528575797573756-1.7320508075688772,0.2870264031340252-22.488884082364045,0.808869438130162-2.23606797749979,0.9066632988201069-1.7320508075688772,0.8887168136677451-1.7320508075688772,0.768688292596526-2.449489742783178,0.7364672358844039-2.449489742783178,0.7152096792922811-3.0,0.7629152889520654-2.23606797749979,0.7609799144538073-2.23606797749979,0.6547619004314689-2.23606797749979,0.7861015272005081-2.23606797749979,0.08510636487098619-5.877032961426899,0.28957528771187074-20.346989949375804,0.0-nan,0.003978779814464325-48.50050569770678,0.0-nan,0.266968319751848-3.7416573867739413,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
p_3,0.9794067408325734-2.0,0.7713003410385608-3.7416573867739413,0.6919046995960069-2.0,0.8848222437219422-1.4142135623730951,0.6032138405240183-2.23606797749979,0.788303001776854-2.23606797749979,0.8501353397963702-3.0,0.8677997146001426-2.23606797749979,0.7870425905374414-2.0,0.7577840673208378-2.8284271247461903,0.6987563318775765-4.123105625617661,0.776785711973852-1.4142135623730951,0.7917855090477552-2.0,0.8934240361151213-2.449489742783178,0.8082314337327454-1.4142135623730951,0.7375930498213614-2.23606797749979,0.711806734563434-1.4142135623730951,0.633895813397683-2.0,0.8175614562052442-2.0,0.2985074181332212-3.605551275463989,0.5062034708051893-2.449489742783178,0.7856600923018644-3.3166247903554,0.69301049338594-2.0,0.8547594557365789-2.0,0.6414027113042833-2.8284271247461903,0.7310847764676163-3.3166247903554,0.8618943482783551-2.449489742783178,0.8948017023891991-1.4142135623730951,0.6636719642206036-2.23606797749979,0.7945834646859491-2.23606797749979,0.7449740213576372-3.7416573867739413,0.8160651912921371-1.4142135623730951,0.781916137779536-2.23606797749979,0.6275264617177434-3.0,0.8305728081171733-1.7002670830491833,0.16326527280300554-3.113594362117865,0.5047120392423453-4.58257569495584,0.0-nan,0.0016773832773905974-62.53958001980396,0.0-nan,0.6378378263452644-1.4142135623730951,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
p_4,0.9826619265965817-2.0,0.8292360149177617-2.23606797749979,0.7237319416933548-1.7320508075688772,0.7282338033601705-3.0,0.40459769649887706-22.720033506921702,0.7701915687913083-3.1622776601683795,0.8481080532115918-2.8284271247461903,0.8620672670202062-2.23606797749979,0.7402825025876044-2.449489742783178,0.7790337559778308-2.449489742783178,0.7692666960082516-2.23606797749979,0.7365632069017289-2.0,0.7378892717606201-2.8284271247461903,0.9159860829672246-1.7320508075688772,0.7834545275441925-2.0,0.8017334756182734-1.4142135623730951,0.6688405772868095-2.0,0.6065934021494989-2.449489742783178,0.8438521058952261-1.4142135623730951,0.41463409577632976-1.4142135623730951,0.20070671236249674-4.857266740417761,0.8301153015485396-2.23606797749979,0.7258251818280276-1.7320508075688772,0.7882191906413276-3.0,0.45918366878384015-22.248527428473267,0.8295121621208138-2.23606797749979,0.8915541798575966-2.0,0.8754622632035719-2.0,0.7776611371219178-2.23606797749979,0.8098651246166743-2.23606797749979,0.7885117476316107-2.23606797749979,0.7893019031828632-2.23606797749979,0.8004968924211256-2.1298373876248737,0.5943190051397014-2.23606797749979,0.8238291882753456-1.7320508075688772,0.18867920968316798-3.5348264453008715,0.31256383905738594-5.817993507599202,0.0-nan,0.000829531311366523-50.628037749137896,0.0-nan,0.487364612141433-2.449489742783178,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
p_5,0.9814374698464513-2.23606797749979,0.8157686038677435-3.0,0.7133357115147101-2.0,0.8481379787121939-2.0,0.38151658315738646-24.24657732345465,0.7998894923412563-2.23606797749979,0.8787364952640213-2.23606797749979,0.852389243155161-2.23606797749979,0.788301760509248-2.23606797749979,0.7525538195419554-2.23606797749979,0.7685988115732569-2.23606797749979,0.7483824559727446-1.9196152422706145,0.7650092825149386-2.4388186545189696,0.9064768783472557-2.23606797749979,0.7588336808440062-2.23606797749979,0.7348631442221091-2.0,0.6550549009653355-2.0,0.5558986994694336-3.0,0.7733333327007499-2.449489742783178,0.28124995605469433-2.449489742783178,0.16719745089810947-8.94427190999916,0.822809812987451-2.449489742783178,0.7217222422107306-2.0,0.8410109178994254-2.23606797749979,0.4999999950787402-18.912954638204504,0.7769171640817958-2.449489742783178,0.8838638060777688-2.23606797749979,0.8647028419303862-2.23606797749979,0.7441016326435758-3.0,0.7681159413892088-2.23606797749979,0.7717785826411557-2.23606797749979,0.7827015476217285-2.23606797749979,0.781220655443144-2.23606797749979,0.6170483421307358-2.449489742783178,0.7877665989635682-2.23606797749979,0.0-5.4491182598171575,0.3081429390266963-9.899494936611665,0.0-nan,0.0016116035325414704-61.379960779302394,0.0-nan,0.0-7.681145747868608,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
p_6,0.9802796984677905-3.1622776601683795,0.8026611213959185-3.0,0.704847541099468-2.23606797749979,0.8795706880534527-1.4142135623730951,0.2997601882522759-5.991087019338976,0.7619047616584539-3.1622776601683795,0.8793184789195332-2.8284271247461903,0.8495445191255047-2.8284271247461903,0.8044171211242974-2.0,0.7665031407466192-2.449489742783178,0.7504040619939875-2.23606797749979,0.7154753618477606-2.8284271247461903,0.7649869661924698-2.23606797749979,0.8907264552434048-2.449489742783178,0.7646748675178604-2.23606797749979,0.7968917449172247-1.7320508075688772,0.5623543107157508-4.58257569495584,0.701402800925833-2.0,0.7716472645737146-2.449489742783178,0.0-nan,0.2100283802267892-7.0,0.8091113172251345-3.0,0.6993782366731316-2.23606797749979,0.8489202288017099-2.0,0.2847058790034603-25.864488404892967,0.80438745903811-2.23606797749979,0.8916978904426445-2.23606797749979,0.8708164228794516-2.0,0.8276422754615073-1.7320508075688772,0.7355409178601995-2.8284271247461903,0.6901317195203375-2.8284271247461903,0.7699982489322613-2.23606797749979,0.7757159203305478-2.23606797749979,0.6707234572635331-2.23606797749979,0.7507805614035862-3.0,0.0-nan,0.3292604480433412-17.793242921671652,0.0-nan,0.006329113899014581-51.96922080562703,0.0-nan,0.35802468399126164-3.1622776601683795,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
p_7,0.9833050582462459-2.0,0.8214881791280961-2.449489742783178,0.7227181137166325-1.7320508075688772,0.8086566799335178-2.23606797749979,0.4593301391451661-9.321864356363717,0.8121306720893826-2.23606797749979,0.8784789812748315-2.23606797749979,0.8608475329818434-2.23606797749979,0.7258047373570544-2.8284271247461903,0.7854364394076269-2.449489742783178,0.7610105057880383-2.23606797749979,0.7753086392405338-1.4142135623730951,0.7724021860067266-2.23606797749979,0.9018282546811027-2.23606797749979,0.8019398634316781-1.7320508075688772,0.7753830153846195-2.0,0.7197358741022161-1.4142135623730951,0.4890333022824265-3.2008644427151345,0.801632244502305-2.23606797749979,0.2950819188390297-3.816804881825742,0.47307429807038653-3.073024947075778,0.8240178782028545-2.23606797749979,0.7261768663402681-1.7320508075688772,0.8473218047881392-2.23606797749979,0.620748294041256-2.23606797749979,0.8460952601657696-1.7320508075688772,0.9030805171211735-2.0,0.880755481576719-2.0,0.7854225565133286-2.23606797749979,0.803138373115281-2.23606797749979,0.7901508411930993-2.23606797749979,0.8045845264521638-1.4142135623730951,0.8169918478217044-1.7320508075688772,0.6307116057624599-2.23606797749979,0.8136986294403266-2.0,0.0-nan,0.4897260246020204-2.8284271247461903,0.0-nan,0.004574565395358804-58.09646935214576,0.0-nan,0.3624454069335064-3.0,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
p_8,0.9788349375899534-2.23606797749979,0.8124784009587248-2.8284271247461903,0.6793836072819893-2.23606797749979,0.8804839043035236-2.0,0.407172991485517-12.42375272919011,0.8074969439610221-2.449489742783178,0.863462245917757-2.449489742783178,0.8609959538179931-2.23606797749979,0.8494273648590388-1.4142135623730951,0.7699282822768706-2.449489742783178,0.7909967827492036-2.23606797749979,0.7645803671245364-1.4142135623730951,0.7825367250516517-2.23606797749979,0.9109778260794297-1.7320508075688772,0.7980659833162059-1.7320508075688772,0.7763263109135529-2.0,0.6932952899668499-1.7320508075688772,0.6479550870252199-2.0,0.8274227669679028-1.7320508075688772,0.5192307193047385-1.4142135623730951,0.496757454625438-3.605551275463989,0.8253716853943822-2.449489742783178,0.7022310411467676-2.0,0.8705270508148231-2.23606797749979,0.5281306667138778-19.72308292331602,0.8413537213735793-1.7320508075688772,0.8946406165338132-2.0,0.8872091771806534-1.7320508075688772,0.837149531732302-1.4142135623730951,0.7776111937551131-2.23606797749979,0.8075808231715033-2.0,0.8191264182998591-1.7320508075688772,0.8163372837514169-1.4142135623730951,0.6256809289830279-2.0,0.8195654079180387-2.0,0.11764703575548317-2.449489742783178,0.5232163050780504-3.98708286933865,0.0-nan,0.005444646048596679-69.0926250959459,0.0-nan,0.5679442409765811-2.0,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
p_9,0.9819872484662643-2.449489742783178,0.8105117446663097-2.8284271247461903,0.7054751987552776-2.23606797749979,0.7745832123548657-2.8284271247461903,0.2690355295807674-7.648459426866259,0.7203025501114192-3.7416573867739413,0.8630027499110662-3.1622776601683795,0.8635632459841271-2.23606797749979,0.6922928330188403-3.3166247903554,0.6353618415827617-3.605551275463989,0.6996418963750182-3.0,0.6527162951600953-2.0,0.7440644723501101-3.605551275463989,0.8843360709597496-2.8284271247461903,0.7514756402506602-2.449489742783178,0.7306720547481756-2.23606797749979,0.6427771532557777-2.23606797749979,0.5825242680742766-2.23606797749979,0.7621247107094651-2.8284271247461903,0.14035085257002586-3.31742342552184,0.13999999883333333-7.0710678118654755,0.8089061462396591-2.8284271247461903,0.7071576688775478-2.23606797749979,0.830282125749411-2.0,0.5490909040991736-17.922045656013164,0.6845494942086207-3.605551275463989,0.8685363715443871-3.0,0.8779038352901655-2.0,0.7301249145636439-3.0,0.7354605850746776-2.449489742783178,0.7587565657645434-2.449489742783178,0.7614536836128485-2.23606797749979,0.7914680030327026-2.23606797749979,0.6904588442064178-2.0,0.7350020510997111-3.4641016151377544,0.0-4.835698727444251,0.25027932821073-6.4031242374328485,0.0-nan,0.0-56.685094932905535,0.0-nan,0.2156448157368961-3.605551275463989,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0-nan,0.0
